,image_no,text,bb
0,2085538756_0.tif,NEW YORK UNIVERSITY SCHOOL OF MEDICINE ,154 127 588 141
1,2085538756_1.tif,545 First Avenue ,318 150 422 160
2,2085538756_2.tif,"New York, N. Y. 10016 ",302 166 438 177
3,2085538756_3.tif,Restricted Funds SCI ,313 181 425 190
4,2085538756_4.tif,Date: ,493 236 518 245
5,2085538756_5.tif,Invoice No.: ,493 250 552 259
6,2085538756_6.tif,A/C No. CUPS: ,492 265 563 273
7,2085538756_7.tif,A/C No. FAME ,492 279 561 287
8,2085538756_8.tif,"January 21,2002 ",589 236 677 247
9,2085538756_9.tif,2 ,619 251 624 259
10,2085538756_10.tif,63-1-4955 ,597 264 646 273
11,2085538756_11.tif,15B2600 49551 ,582 278 661 287
12,2085538756_12.tif,"> Philip Morris, USA ",30 306 145 317
13,2085538756_13.tif,$15 Maury Street ,49 321 137 332
14,2085538756_14.tif,"» Richmond, VA 23224 ",30 335 160 345
15,2085538756_15.tif,Attn: Research Center ,48 349 168 358
16,2085538756_16.tif,"> Tapas Sengupta, ",30 364 163 375
17,2085538756_17.tif,Project Manager ,79 379 165 389
18,2085538756_18.tif,Project Title: ,48 444 114 454
19,2085538756_19.tif,Environmental Tobacco Smoke-Associated ,223 444 450 453
20,2085538756_20.tif,Cadmium and Enhanced Childhood Lung ,222 458 438 468
21,2085538756_21.tif,Infections ,222 471 274 480
22,2085538756_22.tif,Principal Investigator: ,48 515 163 526
23,2085538756_23.tif,"Dr. ZELIKOFF, J ",222 515 306 525
24,2085538756_24.tif,Invoice Period: ,47 545 126 553
25,2085538756_25.tif,Contract Number: ,47 575 140 584
26,2085538756_26.tif,"October 1,2001 TO December 31,2001 ",239 544 476 554
27,2085538756_27.tif,A ,171 648 191 671
28,2085538756_28.tif,2nd Quarterly Payment request as per Article 3 of Contract ,222 619 511 631
29,2085538756_29.tif,//>> /.o ,474 652 526 671
30,2085538756_30.tif,"$82,564.65 j ",618 617 688 631
31,2085538756_31.tif,Anthony Marsicark/Assistant Controller Restricted Funds / ' Date ,136 673 542 686
32,2085538756_32.tif,EoctfartLTa: ,46 771 106 781
33,2085538756_33.tif,Enclosed: ,46 798 95 807
34,2085538756_34.tif,'etv York Uaitcrtky School of M«Hclne ,221 745 385 754
35,2085538756_35.tif,Rntrlcftil Kun-l' SCI ,221 773 298 780
36,2085538756_36.tif,i Copy ol* Invoice ,220 800 300 809
37,2085538756_37.tif,«3!49i5Jv«3IDecOi:Oli 2nd Cfrtaro*# ,517 933 661 940
38,2085538756_38.tif,2085538756 ,685 827 699 927
