,image_no,text,bb
0,ti00911106_1107_0.tif,WASHTECH ,271 110 417 134
1,ti00911106_1107_1.tif,InformationGrou^nc ,273 166 417 187
2,ti00911106_1107_2.tif,"Christopher J. Proctor, Ph.D. ",232 243 455 255
3,ti00911106_1107_3.tif,Covington & Burling ,271 256 419 268
4,ti00911106_1107_4.tif,"1201 Pennsylvania Ave., N.W. ",237 270 452 282
5,ti00911106_1107_5.tif,9th Floor ,311 283 380 293
6,ti00911106_1107_6.tif,"Washington, DC 20044 ",267 297 422 309
7,ti00911106_1107_7.tif,ATTORNEY WORK PRODUCT — PRIVILEGED AND CONFIDENTIAL ,142 324 548 333
8,ti00911106_1107_8.tif,INVOICE ,319 351 373 360
9,ti00911106_1107_9.tif,For professional services rendered during March ,84 377 450 389
10,ti00911106_1107_10.tif,1991 for efforts relating to the development ,84 390 427 402
11,ti00911106_1107_11.tif,of a symposium on the misuse of science in public ,84 403 466 416
12,ti00911106_1107_12.tif,"policy. $8,533.75 ",84 417 645 429
13,ti00911106_1107_13.tif,"MYRON S. WEINBERG, Ph.D. ",115 458 300 469
14,ti00911106_1107_14.tif,Research 7.70 $275.00 ,154 470 559 481
15,ti00911106_1107_15.tif,• Develop potential agenda for scientific conference ,204 484 607 496
16,ti00911106_1107_16.tif,■ Meet with Gio Gori to discuss chairmen and agenda ,204 497 599 509
17,ti00911106_1107_17.tif,Witness Activities 7.00 $275.00 ,154 523 560 534
18,ti00911106_1107_18.tif,• Identify possible chairmen ,203 537 419 549
19,ti00911106_1107_19.tif,• Identify speakers and topics ,204 550 435 562
20,ti00911106_1107_20.tif,• Review credentials of potential chairmen ,203 563 528 575
21,ti00911106_1107_21.tif,Writing/Contacts/Meetings 3.90 $275.00 ,154 576 560 588
22,ti00911106_1107_22.tif,H. EDWARD DUNKELBBRGER ,116 604 287 613
23,ti00911106_1107_23.tif,Information Management 5.75 $65.00 ,155 617 560 629
24,ti00911106_1107_24.tif,• Review current literature for inclusion in database ,204 630 615 640
25,ti00911106_1107_25.tif,• Organize tracking system for information on science and ,204 643 646 655
26,ti00911106_1107_26.tif,public policy ,202 657 302 669
27,ti00911106_1107_27.tif,Management 3.25 $65.00 ,155 670 560 682
28,ti00911106_1107_28.tif,• Meet with MB and MSW on status ,204 683 450 693
29,ti00911106_1107_29.tif,• Respond to questions from experts ,204 696 474 708
30,ti00911106_1107_30.tif,Research 4.25 $65.00 ,155 710 560 720
31,ti00911106_1107_31.tif,• Contact experts on science in public policy ,204 723 553 734
32,ti00911106_1107_32.tif,• Review publications ,204 736 365 748
33,ti00911106_1107_33.tif,Witness Activities 11.75 $65.00 ,155 763 560 773
34,ti00911106_1107_34.tif,• Develop lists of additional speakers and chairmen ,204 776 599 788
35,ti00911106_1107_35.tif,• Meet with Frankie Trull (Biomedical Research Foundation) ,204 789 644 800
36,ti00911106_1107_36.tif,• Contact James Kyngaarden (ex-director of NIH) ,204 802 566 814
37,ti00911106_1107_37.tif,Writing/Contacts/Meetings 10.00 $65.00 ,155 828 559 840
38,ti00911106_1107_38.tif,• Letters to potential speakers ,204 842 443 854
39,ti00911106_1107_39.tif,• Follow up letters to contacts ,204 856 443 867
40,ti00911106_1107_40.tif,"2B28 Pennsylvania Avenue, N.W., Suite 3C5 • Washington. D.C 20007 • 202/333-8431 • facsimile Number 202/965-4081 ",53 902 637 916
41,ti00911106_1107_41.tif,TI0091-1106 ,652 965 721 974
