,image_no,text,bb
0,503731884+-1884_0.tif,IMP INTERNATIONAL LTD PRODUCTION EST1MATI ,23 81 735 105
1,503731884+-1884_1.tif,CLIENT} ,22 110 71 122
2,503731884+-1884_2.tif,MEDIA: ,21 126 63 137
3,503731884+-1884_3.tif,BST #: ,22 140 64 153
4,503731884+-1884_4.tif,DESC: ,21 157 56 168
5,503731884+-1884_5.tif,RJR/Now Family ,111 112 213 127
6,503731884+-1884_6.tif,Magazine ,110 128 169 142
7,503731884+-1884_7.tif,M4-NF-0101W-4C ,111 143 213 155
8,503731884+-1884_8.tif,ABOVE ALL ,110 159 176 170
9,503731884+-1884_9.tif,(M)-’W' Jr Pg. ,111 174 210 189
10,503731884+-1884_10.tif,DATE: ,480 120 514 130
11,503731884+-1884_11.tif,PAGE 1 OF ,480 135 545 146
12,503731884+-1884_12.tif,INTERNAL #2 ,480 149 558 161
13,503731884+-1884_13.tif,»/> ,635 153 642 163
14,503731884+-1884_14.tif,€ s ,598 121 619 163
15,503731884+-1884_15.tif,O H ,591 121 598 163
16,503731884+-1884_16.tif,N ^ ,584 121 590 161
17,503731884+-1884_17.tif,CODE ,20 219 50 231
18,503731884+-1884_18.tif,EXPENSE CATEGORY ,110 221 226 234
19,503731884+-1884_19.tif,ORICINAL ,316 209 375 220
20,503731884+-1884_20.tif,ESTIMATE ,315 225 373 236
21,503731884+-1884_21.tif,REVISED ,404 210 456 222
22,503731884+-1884_22.tif,ESTIMATE ,404 226 462 238
23,503731884+-1884_23.tif,ACTUAL ,500 212 544 224
24,503731884+-1884_24.tif,COSTS ,500 228 536 240
25,503731884+-1884_25.tif,PERCENT ,669 217 721 228
26,503731884+-1884_26.tif,DIFFERENCE DIFFERENCE ,573 230 735 243
27,503731884+-1884_27.tif,CMC ,20 266 42 278
28,503731884+-1884_28.tif,Mechanical ,72 268 145 279
29,503731884+-1884_29.tif,i350.00 ,329 270 381 284
30,503731884+-1884_30.tif,0.00 ,616 278 646 288
31,503731884+-1884_31.tif,0.00 ,705 279 735 290
32,503731884+-1884_32.tif,PPP ,19 282 41 292
33,503731884+-1884_33.tif,Engraving - Offset ,71 283 202 298
34,503731884+-1884_34.tif,"1,300.00 ",323 286 379 300
35,503731884+-1884_35.tif,0.00 ,616 292 645 303
36,503731884+-1884_36.tif,0.00 ,706 293 734 305
37,503731884+-1884_37.tif,PST ,19 298 41 309
38,503731884+-1884_38.tif,Photostat ,72 299 137 310
39,503731884+-1884_39.tif,150.00 ,337 303 380 315
40,503731884+-1884_40.tif,0.00 ,616 309 645 319
41,503731884+-1884_41.tif,0.00 ,705 310 734 321
42,503731884+-1884_42.tif,■ ,76 317 78 319
43,503731884+-1884_43.tif,• ,402 316 405 319
44,503731884+-1884_44.tif,0.00 ,617 323 645 334
45,503731884+-1884_45.tif,0.00 ,705 324 734 336
46,503731884+-1884_46.tif,' ,162 329 164 333
47,503731884+-1884_47.tif,0.00 ,616 338 645 349
48,503731884+-1884_48.tif,0.00 ,705 339 734 351
49,503731884+-1884_49.tif,0.00 ,615 354 644 365
50,503731884+-1884_50.tif,0.00 ,704 355 733 367
51,503731884+-1884_51.tif,0.00 ,616 370 644 380
52,503731884+-1884_52.tif,0.00 ,704 371 733 383
53,503731884+-1884_53.tif,0.00 ,615 385 644 396
54,503731884+-1884_54.tif,0.00 ,704 386 734 398
