,image_no,text,bb
0,526450353+-0353_0.tif,I ,10 9 11 17
1,526450353+-0353_1.tif,i ,34 869 36 874
2,526450353+-0353_2.tif,cJ ,84 93 96 109
3,526450353+-0353_3.tif,&> ,84 118 93 128
4,526450353+-0353_4.tif,o ,87 133 96 142
5,526450353+-0353_5.tif,r < ,91 143 96 155
6,526450353+-0353_6.tif,| BILL TO ,102 192 151 211
7,526450353+-0353_7.tif,Womble Carlyle SandrkJge & Rice ,106 217 277 229
8,526450353+-0353_8.tif,200 West Second Street ,106 230 228 240
9,526450353+-0353_9.tif,P.O. Drawer 84 ,106 243 183 253
10,526450353+-0353_10.tif,"Winston-Salem, NC 27102 ",106 257 242 268
11,526450353+-0353_11.tif,DATE ,109 398 134 408
12,526450353+-0353_12.tif,DESCRIPTION ,304 399 366 409
13,526450353+-0353_13.tif,09/01/2001 B«!anc« forward ,94 420 227 429
14,526450353+-0353_14.tif,09/14/2001 INV *3011163-Consulting- August 2001 ,93 434 325 443
15,526450353+-0353_15.tif,DUEDATE ,487 347 534 357
16,526450353+-0353_16.tif,AMOUNT DUE ,592 348 655 357
17,526450353+-0353_17.tif,10/14/2001 ,483 373 537 382
18,526450353+-0353_18.tif,$700.00 ,603 373 643 383
19,526450353+-0353_19.tif,AMOUNT BALANCE ,530 399 660 410
20,526450353+-0353_20.tif,0.00 ,652 422 673 431
21,526450353+-0353_21.tif,700.00 700.00 ,549 435 672 444
22,526450353+-0353_22.tif,CURRENT ,106 802 152 812
23,526450353+-0353_23.tif,1-33 DAYS PAST ,195 797 265 807
24,526450353+-0353_24.tif,DUE ,221 811 239 820
25,526450353+-0353_25.tif,31-60 DAYS PAST ,291 797 369 807
26,526450353+-0353_26.tif,DUE ,321 810 340 820
27,526450353+-0353_27.tif,61-90 DAYS PAST ,391 797 469 807
28,526450353+-0353_28.tif,DUE ,421 811 440 821
29,526450353+-0353_29.tif,OVER 90 DAYS PAST ,484 797 577 808
30,526450353+-0353_30.tif,DUE ,521 811 540 821
31,526450353+-0353_31.tif,AMOUNT DUE ,599 803 663 814
32,526450353+-0353_32.tif,700.00 ,112 836 146 846
33,526450353+-0353_33.tif,0.00 ,219 837 240 847
34,526450353+-0353_34.tif,0.00 ,319 837 340 846
35,526450353+-0353_35.tif,0.00 ,420 838 441 847
36,526450353+-0353_36.tif,0.00 fit ,520 831 579 860
37,526450353+-0353_37.tif,^^$700^^) ,583 822 671 859
38,526450353+-0353_38.tif,52645 0353 ,679 684 692 771
