,image_no,text,bb
0,508560943+-0943_0.tif,INVOICE ,603 69 671 81
1,508560943+-0943_1.tif,NFO ,45 22 146 57
2,508560943+-0943_2.tif,"M'O !<i-Mcurt'li, luc., I*. O. Box 315, Toledo, OH 4363-1 ",46 70 360 82
3,508560943+-0943_3.tif,A Member of ihc AGIl Hcacurch Group ,113 83 294 93
4,508560943+-0943_4.tif,R J REYNOLDS TOBACCO COMPANY ,107 183 356 194
5,508560943+-0943_5.tif,Marketing Development Dept. ,106 199 296 212
6,508560943+-0943_6.tif,"401 North Main, Floor 3, #300 ",105 214 296 227
7,508560943+-0943_7.tif,"Winston-Salem, NC 27102 ",106 229 281 241
8,508560943+-0943_8.tif,"Dute: September 30, 1988 ",442 174 598 188
9,508560943+-0943_9.tif,Invoice Number: 14507-8 ,443 189 595 200
10,508560943+-0943_10.tif,Customer P.O.: ,442 204 521 214
11,508560943+-0943_11.tif,Acknowledged: ,442 220 517 231
12,508560943+-0943_12.tif,Attention: Ms> Becky Co „ ins ,74 280 243 297
13,508560943+-0943_13.tif,TERMS — Due when presented. 2% monthly tinane* ,448 277 671 287
14,508560943+-0943_14.tif,charge altor 30 days (24% annual rate) ,497 288 660 297
15,508560943+-0943_15.tif,UP-PmiQ.T.YPE TEST NFO#Q7672 ,49 343 479 356
16,508560943+-0943_16.tif,MDD#88-31230 ,305 360 402 370
17,508560943+-0943_17.tif,FIELDWORK PORTION: ,49 420 203 431
18,508560943+-0943_18.tif,POSTAGE: 3466 MAILED X $.65 each ,49 483 293 494
19,508560943+-0943_19.tif,"$2,252.90 ",588 485 647 496
20,508560943+-0943_20.tif,We appreciate your prompt payment ,289 588 443 597
21,508560943+-0943_21.tif,PiOdse include out tnvo'co number on all payments. ,260 599 472 609
22,508560943+-0943_22.tif,50856 0943 ,695 801 705 889
