,image_no,text,bb
0,11237682_11237683_0.tif,tfNIOff CARBIDE CORPORATION ,120 151 272 162
1,11237682_11237683_1.tif,NUCLEAR DIVISION ,119 163 199 170
2,11237682_11237683_2.tif,► O. SO* f. 0»* •‘OCt. TlXNltMC VUi ,119 174 263 181
3,11237682_11237683_3.tif,Acting Under U.S. Government Contract W7405 eng 26 With the U.S. ,59 187 332 197
4,11237682_11237683_4.tif,INVOICE ,349 150 420 161
5,11237682_11237683_5.tif,artment of Energy ,349 188 420 198
6,11237682_11237683_6.tif,UCN-44SJ ,59 205 98 212
7,11237682_11237683_7.tif,(• 1J-77) ,56 216 95 224
8,11237682_11237683_8.tif,THE COUNCIL FOR TOBACCO RESEARCH USA. INC. ,147 287 428 301
9,11237682_11237683_9.tif,ACCOUNTS PAYABLE ,147 300 255 312
10,11237682_11237683_10.tif,110 EAST 59TH STREET ,148 314 282 325
11,11237682_11237683_11.tif,"NEW YORK, NEW YORK 10022 ",147 327 336 340
12,11237682_11237683_12.tif,ISSUE CHECK PAYABLE TOi ,530 148 651 156
13,11237682_11237683_13.tif,"UNION CARBIDE CORPORATION, NUCLEAR DIVISION ",479 156 707 167
14,11237682_11237683_14.tif,Fund Account ,589 168 643 174
15,11237682_11237683_15.tif,P. 0. Bom P. Oak TtMciMC 37030 ,507 176 680 186
16,11237682_11237683_16.tif,Attention: Uoncgar of Accounting ,504 186 639 196
17,11237682_11237683_17.tif,i certify the1 «*• Abort bill l» cornel ,482 203 642 210
18,11237682_11237683_18.tif,pmyw—*t (Aorofer m ,481 212 591 219
19,11237682_11237683_19.tif,Felt Low StmrxUrd* Act ,481 229 589 236
20,11237682_11237683_20.tif,mnd thsi Stmt• or local ooloo (Mtf or# no# Included In ,481 238 702 246
21,11237682_11237683_21.tif,• Ml!#*. ,527 248 556 254
22,11237682_11237683_22.tif,C/n/on Cerblde Corporation ,520 275 625 282
23,11237682_11237683_23.tif,Nuclear Dlrltlon ,538 284 605 290
24,11237682_11237683_24.tif,.. Accounlonl ,649 266 703 275
25,11237682_11237683_25.tif,15710 1 ,546 331 625 342
26,11237682_11237683_26.tif,OU.O»Dt» «0. ,388 384 455 389
27,11237682_11237683_27.tif,3512-L-02840-01 ,504 370 604 382
28,11237682_11237683_28.tif,OUH ACCOUNT NO. ,520 386 601 391
29,11237682_11237683_29.tif,Sim.AGREEtENUll ,50 397 185 409
30,11237682_11237683_30.tif,• CUSTOMER* ORDER NO. ,59 409 168 415
31,11237682_11237683_31.tif,80.MAY 16 5. 538 _ ,50 424 222 437
32,11237682_11237683_32.tif,• OATC INVOICK NO. ,53 435 221 442
33,11237682_11237683_33.tif,CONTAINER NO. ,307 411 376 416
34,11237682_11237683_34.tif,OUR SNIPPING ,251 438 313 442
35,11237682_11237683_35.tif,OAT* SHIPPED ,400 439 465 444
36,11237682_11237683_36.tif,•HIPPED VIA ,531 413 587 419
37,11237682_11237683_37.tif,*/L NO. ,543 440 577 445
38,11237682_11237683_38.tif,QUANTITY ,91 463 148 470
39,11237682_11237683_39.tif,DESCRIPTION ,352 465 424 472
40,11237682_11237683_40.tif,AMOUNT ,626 468 670 475
41,11237682_11237683_41.tif,CHARACTERIZATION OF ANIMAL INHALATION EXPOSURE ,220 518 530 532
42,11237682_11237683_42.tif,"DEVICES 4,624.00 ",220 531 597 547
43,11237682_11237683_43.tif,"4,624.00 ",666 551 720 562
44,11237682_11237683_44.tif,"APRIL, 1980 ",267 559 341 571
45,11237682_11237683_45.tif,TERMS' ,74 755 106 762
46,11237682_11237683_46.tif,NET CASH ,68 765 113 773
47,11237682_11237683_47.tif,<S.« ,62 776 79 784
48,11237682_11237683_48.tif,"Refer any questions regarding thla Invoice to Accounts Receivable Department, phone 4S3-S6II. ",238 760 668 772
49,11237682_11237683_49.tif,extension 3-3117. Area Code 61$. ,237 771 387 779
50,11237682_11237683_50.tif,CTR CONTRRCTS 017934 ,378 949 692 970
