,image_no,text,bb
0,ti16310917_0.tif,POLITICAL CAMPAIGN CONTRIBUTION REQUEST ,184 103 505 116
1,ti16310917_1.tif,"Date: August 30, 1904 ",32 154 213 166
2,ti16310917_2.tif,State or Local: State ,404 158 585 167
3,ti16310917_3.tif,RECIPIENT INFORMATION ,255 222 427 233
4,ti16310917_4.tif,Name: ,29 260 67 268
5,ti16310917_5.tif,Senator Crowell Armstrong ,186 254 357 266
6,ti16310917_6.tif,Address: ,28 299 91 308
7,ti16310917_7.tif,Current Office ,28 326 143 337
8,ti16310917_8.tif,and District: ,44 339 149 350
9,ti16310917_9.tif,Aspired Office ,27 353 142 365
10,ti16310917_10.tif,and District: ,44 366 148 377
11,ti16310917_11.tif,Party ,26 393 66 404
12,ti16310917_12.tif,Leadership Position ,25 419 182 432
13,ti16310917_13.tif,Committees: ,24 446 112 456
14,ti16310917_14.tif,p.o. Box 672 ,187 296 268 307
15,ti16310917_15.tif,"Houston, MS 38851 ",186 309 309 320
16,ti16310917_16.tif,Senate Distirct 8 ,187 336 303 348
17,ti16310917_17.tif,Demxrrac ,187 394 241 402
18,ti16310917_18.tif,CONTRIBUTION INFORMATION ,235 502 433 513
19,ti16310917_19.tif,Amount: ,22 540 77 549
20,ti16310917_20.tif,Check Pay to: ,22 566 127 578
21,ti16310917_21.tif,Address: ,22 593 85 603
22,ti16310917_22.tif,(Only if different fron address above) ,38 634 348 648
23,ti16310917_23.tif,otes: ,27 662 65 670
24,ti16310917_24.tif,(Date needed; fundraiser date; other information) ,37 675 438 690
25,ti16310917_25.tif,Account Code: 1401-7710-FL01 ,396 545 634 555
26,ti16310917_26.tif,pproved by: ,26 715 114 727
27,ti16310917_27.tif,(Regional Vice President'r. signature) ,203 730 503 745
28,ti16310917_28.tif,(Senior vice President's signature) ,210 782 493 799
29,ti16310917_29.tif,• r ,23 939 33 944
30,ti16310917_30.tif,• i 200'ON 92= * F6.0S 90b ,38 937 255 950
31,ti16310917_31.tif,IT2Z-998-008:0I ooaeqoi 3M1 ,340 931 654 948
32,ti16310917_32.tif,TI1631-0917 ,641 964 722 975
