,image_no,text,bb
0,ti16131011_1013_0.tif,Til 613-1011 ,641 964 720 974
1,ti16131011_1013_1.tif,METROCALL ,103 104 379 145
2,ti16131011_1013_2.tif,Invoice date: 11/01/96 ,175 165 359 177
3,ti16131011_1013_3.tif,107515 ,231 189 277 198
4,ti16131011_1013_4.tif,WILSON SCOTT ,132 209 229 218
5,ti16131011_1013_5.tif,8624 FT HUNT RD ,133 218 253 228
6,ti16131011_1013_6.tif,"ALEXANDRIA, VA 22308 ",132 229 334 240
7,ti16131011_1013_7.tif,DATT ,65 264 85 270
8,ti16131011_1013_8.tif,RBFEKKNtfi ,172 264 216 270
9,ti16131011_1013_9.tif,KOH RILLINC ,424 96 486 104
10,ti16131011_1013_10.tif,INQUIRIES CAM.: ,405 107 486 116
11,ti16131011_1013_11.tif,YOUR LOCAL ,423 134 487 141
12,ti16131011_1013_12.tif,OFFICE IS: ,437 144 486 152
13,ti16131011_1013_13.tif,ACCOUNT NO.: ,416 192 486 199
14,ti16131011_1013_14.tif,CONTACT: ,438 216 486 223
15,ti16131011_1013_15.tif,INVOICE *: 06420685 ,502 113 654 123
16,ti16131011_1013_16.tif,1 (800) 553-7836 ,526 125 654 135
17,ti16131011_1013_17.tif,Metrocall ,508 153 580 163
18,ti16131011_1013_18.tif,6677 Richmond Hwy ,509 167 646 180
19,ti16131011_1013_19.tif,"Alexandria, VA 22306 ",508 181 671 192
20,ti16131011_1013_20.tif,107515 ,509 200 556 209
21,ti16131011_1013_21.tif,PC) NUMBER: ,420 243 486 250
22,ti16131011_1013_22.tif,PRIOR BALANCE ,271 294 375 303
23,ti16131011_1013_23.tif,BEGINNING BALANCE ,271 321 408 330
24,ti16131011_1013_24.tif,Late payment charge ,271 348 424 360
25,ti16131011_1013_25.tif,on amount of 21.87 ,287 361 432 371
26,ti16131011_1013_26.tif,IMPORTANT NOTE: ,51 374 169 384
27,ti16131011_1013_27.tif,"TRANSACTIONS PROCESSED AFTER THE 20TH DAY, ",49 387 389 400
28,ti16131011_1013_28.tif,MAY APPEAR ON YOUR NEXT MONTH’S BILL ,49 401 343 411
29,ti16131011_1013_29.tif,TOTAL CURRENT CHARGES ,270 430 441 439
30,ti16131011_1013_30.tif,PLEASE PAY THIS AMOUNT ,271 457 449 466
31,ti16131011_1013_31.tif,22.20 ,632 295 670 305
32,ti16131011_1013_32.tif,22.20 ,632 322 670 332
33,ti16131011_1013_33.tif,0.33 ,639 349 669 359
34,ti16131011_1013_34.tif,0.33 ,639 431 670 441
35,ti16131011_1013_35.tif,22.53 ,632 459 670 468
36,ti16131011_1013_36.tif,W.EASE SEE REVERSE SIDE Pftft IMPORTANT INFORMATION ,225 666 497 674
37,ti16131011_1013_37.tif,r ,26 683 32 689
38,ti16131011_1013_38.tif,ACCOUNT NUMBER ,71 728 142 734
39,ti16131011_1013_39.tif,CURRANT ,220 728 256 734
40,ti16131011_1013_40.tif,107515 ,100 741 146 751
41,ti16131011_1013_41.tif,0.33 ,237 741 268 751
42,ti16131011_1013_42.tif,MCTGOCALL ,46 691 226 717
43,ti16131011_1013_43.tif,FINAL NOTICE! Payment in full must be ,319 688 620 700
44,ti16131011_1013_44.tif,received within 10 days or your account will ,319 701 678 714
45,ti16131011_1013_45.tif,bg forwarded to Metrocall’s.1 ,318 715 555 725
46,ti16131011_1013_46.tif,»DAYa ,321 728 352 734
47,ti16131011_1013_47.tif,0.33 ,336 742 366 752
48,ti16131011_1013_48.tif,22.53 ,639 744 678 753
49,ti16131011_1013_49.tif,CUSTOMER ,46 770 99 777
50,ti16131011_1013_50.tif,WILSON SCOTT ,147 769 244 778
51,ti16131011_1013_51.tif,INVOICE «: 06420685 ,149 796 300 806
52,ti16131011_1013_52.tif,Payment Due: 11/19/96 ,450 769 620 782
53,ti16131011_1013_53.tif,AMOUNT PAID ,442 796 512 803
54,ti16131011_1013_54.tif,MAKE CHECK PAYABLE TO: ,46 821 180 828
55,ti16131011_1013_55.tif,0010751500000033000022533 ,303 824 505 834
56,ti16131011_1013_56.tif,Metrocall ,114 863 187 873
57,ti16131011_1013_57.tif,P.O. Box 79058 ,115 877 227 887
58,ti16131011_1013_58.tif,"Baltimore, MD 21279-0058 ",115 890 316 902
59,ti16131011_1013_59.tif,PLEASE RETURN THIS PORTION WITH TOUR CHRCK ,392 877 597 884
60,ti16131011_1013_60.tif,ENTER CHANCE OP ADDRESS ON BACK ,417 888 572 895
