,image_no,text,bb
0,500124393+-4395_0.tif,"BILLED ON WILLIAM 5S1Y INVOICE NO. 12-360 DATED DECEMBER 20, 1951 ",71 106 635 130
1,500124393+-4395_1.tif,TELEVISION ,71 163 157 176
2,500124393+-4395_2.tif,"To: Preparation and production of ""Camel Cigarettes"" ",71 203 532 225
3,500124393+-4395_3.tif,60-3econd commercial featuring Doctor #3 3»350.00 ,115 214 713 239
4,500124393+-4395_4.tif,■ • ,126 236 415 244
5,500124393+-4395_5.tif,15# Coram. 502.50 ,429 244 713 265
6,500124393+-4395_6.tif,Fee for Commercial Production Unit 100.00 ,115 276 713 299
7,500124393+-4395_7.tif,"$3,952.50^ ",637 302 724 322
8,500124393+-4395_8.tif,"Net cash payable January 10, 1952 ",72 529 358 549
9,500124393+-4395_9.tif,Sig £l ,72 657 134 684
10,500124393+-4395_10.tif,12-31-51 ,74 687 141 701
11,500124393+-4395_11.tif,a . ,697 856 720 862
12,500124393+-4395_12.tif,w ,696 865 705 872
13,500124393+-4395_13.tif,2j ,694 874 720 902
