,image_no,text,bb
0,518232323+-2324_0.tif,> ,122 43 123 46
1,518232323+-2324_1.tif,Date: 09/19/97 ,52 75 172 89
2,518232323+-2324_2.tif,Accounts Payable Voucher ,260 75 467 88
3,518232323+-2324_3.tif,Voucher #: 006962 ,537 75 683 86
4,518232323+-2324_4.tif,X_ Mail to Payee ,60 137 199 152
5,518232323+-2324_5.tif,Call for Check ,60 167 208 182
6,518232323+-2324_6.tif,Return Name: ,60 198 188 213
7,518232323+-2324_7.tif,Bldg.: ,139 228 188 241
8,518232323+-2324_8.tif,Check to be dated: 09/24/97 ,253 135 484 148
9,518232323+-2324_9.tif,Pickup Name: ,253 166 353 180
10,518232323+-2324_10.tif,Dept. Name: ,408 197 499 210
11,518232323+-2324_11.tif,Room No.: ,399 227 474 238
12,518232323+-2324_12.tif,Ext. : ,573 166 613 176
13,518232323+-2324_13.tif,FEI/SS # ,96 288 164 302
14,518232323+-2324_14.tif,AP Vendor # ,69 305 164 316
15,518232323+-2324_15.tif,AP Contract # ,52 320 164 331
16,518232323+-2324_16.tif,AP Voucher it ,60 335 164 346
17,518232323+-2324_17.tif,AP Pay Date ,69 351 164 364
18,518232323+-2324_18.tif,Name/Address ,61 380 164 393
19,518232323+-2324_19.tif,56-1758927 ***************************** ,193 288 684 299
20,518232323+-2324_20.tif,70030081 * Amount: $ 564.08 * ,193 303 684 315
21,518232323+-2324_21.tif,***************************** ,435 319 684 326
22,518232323+-2324_22.tif,Lawrence Bewley & Associates ,192 379 432 393
23,518232323+-2324_23.tif,P. O. Box 2537 ,192 396 312 406
24,518232323+-2324_24.tif,"Raleigh, NC 27602-2537 ",192 410 389 424
25,518232323+-2324_25.tif,Attention : ,87 442 180 452
26,518232323+-2324_26.tif,Special payment information to appear on check stub: ,53 485 500 501
27,518232323+-2324_27.tif,"August, 1997 Expenses ",122 518 303 531
28,518232323+-2324_28.tif,G/L Account Code ,53 577 191 590
29,518232323+-2324_29.tif,Other Required Code ,339 576 502 588
30,518232323+-2324_30.tif,Amount ,633 576 684 586
31,518232323+-2324_31.tif,04-88-5015-9016-867 ,54 609 217 620
32,518232323+-2324_32.tif,006962 ,409 608 458 617
33,518232323+-2324_33.tif,$ 564.08 ,574 606 684 619
34,518232323+-2324_34.tif,W. E. Ainsworth ,53 654 183 665
35,518232323+-2324_35.tif,Approval Authority Name ,52 684 252 698
36,518232323+-2324_36.tif,q#stor Sign* ,357 682 463 696
37,518232323+-2324_37.tif,Re ,339 684 355 694
38,518232323+-2324_38.tif,Jackie ,340 698 390 709
39,518232323+-2324_39.tif,Signature ,426 683 502 696
40,518232323+-2324_40.tif,Hemric ,400 698 450 709
41,518232323+-2324_41.tif,Ext.: 2742 ,599 668 684 677
42,518232323+-2324_42.tif,Approved: ,53 746 128 759
43,518232323+-2324_43.tif,GRD-12/92 ,53 790 129 804
