,image_no,text,bb
0,87147646_0.tif,® HAZLETON ,51 69 254 104
1,87147646_1.tif,LABORATORIES A ME RCA rsC ,93 100 275 109
2,87147646_2.tif,ss a B.C-04.S0X C*N« fc«T| MOO MNinOION WkH<w*NO ,91 116 355 123
3,87147646_3.tif,PLEASE SEND PAYMENT TO« ,80 142 275 152
4,87147646_4.tif,HAZLETON LABORATORIES AMERICA. INC. ,79 169 378 179
5,87147646_5.tif,PO BOX 25065 ,79 185 182 194
6,87147646_6.tif,RICHMOND. VA 23260 USA ,79 199 285 209
7,87147646_7.tif,BILLED TO« ,80 229 162 237
8,87147646_8.tif,DR. J. D. HECK ,124 256 243 266
9,87147646_9.tif,LORILLARD RESEARCH CENTER ,124 271 339 281
10,87147646_10.tif,420 ENGLISH STREET ,124 286 279 295
11,87147646_11.tif,P.O. BOX 21688 ,123 300 243 310
12,87147646_12.tif,GREENSBORO. NC 27420 ,123 315 295 324
13,87147646_13.tif,SPONSOR REFERENCEi ,80 369 232 380
14,87147646_14.tif,IDENTIFICATION! ,106 383 232 393
15,87147646_15.tif,PURCHASE ORDER NO. 117 A ,314 381 519 391
16,87147646_16.tif,? ,523 376 530 392
17,87147646_17.tif,HLA REFERENCE! ,80 414 199 423
18,87147646_18.tif,PROJECT AUTHORIZATION NO.i 1280 ,107 427 382 437
19,87147646_19.tif,COST CENTER* 6130 ,107 442 383 451
20,87147646_20.tif,INUOICE ,567 97 684 108
21,87147646_21.tif,INVOICE NO.i 806523 ,540 139 711 151
22,87147646_22.tif,USE THIS NUMBER ,538 166 668 175
23,87147646_23.tif,FOR CHECK REMITTANCE ,539 180 711 191
24,87147646_24.tif,AND CORRESPONDENCE ,537 196 693 205
25,87147646_25.tif,DATE! ,582 225 621 233
26,87147646_26.tif,05-30-88 ,643 225 710 233
27,87147646_27.tif,PROJECT NUMBER! ,107 456 233 466
28,87147646_28.tif,20991 ,351 455 389 465
29,87147646_29.tif,SERVICES RENDERED! ,82 485 234 495
30,87147646_30.tif,UNSCHEDULED DNA SYNTHESIS IN RAT LIVER PRIMARY CELL CULTURES ,107 498 626 510
31,87147646_31.tif,MODIFIED FOR SPONSOR ,107 528 279 537
32,87147646_32.tif,DRAFT REPORT ,514 569 617 578
33,87147646_33.tif,ASSAY/PROT TEST MATERIAL MAILED VALUE ,82 582 705 594
34,87147646_34.tif,10198 0 447 B217 05-16-88 5.400.00 ,83 623 713 637
35,87147646_35.tif,LOT NO. HP06916TM ,205 640 350 650
36,87147646_36.tif,7i ,647 870 659 880
37,87147646_37.tif,GENETICS AND IN VTTOO TOXICOLOGY DEPARTMENT (301) S30-0001 ,171 935 576 947
