,image_no,text,bb
0,500125481+-5481_0.tif,S ,682 861 689 866
1,500125481+-5481_1.tif,BILLED ON WILLIAM ESTY INVOICE NO. 10-293 DaTED UCTuoErt 24. 1953 ,68 90 622 107
2,500125481+-5481_2.tif,"-CAMEL CIGARETTES"" TELEVISIUN ",69 124 319 137
3,500125481+-5481_3.tif,"Disc, ",608 152 648 165
4,500125481+-5481_4.tif,To; Preparation and production of the following ,68 169 484 187
5,500125481+-5481_5.tif,60-second film commercial featuring Marge ,111 185 467 201
6,500125481+-5481_6.tif,"and Gower Champion, Alan Ladd and Maureen ",112 201 467 217
7,500125481+-5481_7.tif,O'Hara: ,111 218 168 230
8,500125481+-5481_8.tif,#430 Mass Testimonialist #5 ,180 245 414 262
9,500125481+-5481_9.tif,"Production 2,096.90 .16 ",111 273 657 293
10,500125481+-5481_10.tif,Talent ,110 310 161 322
11,500125481+-5481_11.tif,Minimum guarantee of 3 Class A program uses ,111 323 484 340
12,500125481+-5481_12.tif,1 Class A program use ,111 339 292 355
13,500125481+-5481_13.tif,Class B spot - 13 week cycle 497.50 ,111 353 553 371
14,500125481+-5481_14.tif,"2,594.40 ",485 383 553 398
15,500125481+-5481_15.tif,15# Comm. 389.16 ,363 412 553 429
16,500125481+-5481_16.tif,. Fee for Commercial Production.Unit 100.00 ,93 445 553 462
17,500125481+-5481_17.tif,"• $3,033.56 ",461 474 552 492
18,500125481+-5481_18.tif,$.16 discount allowed ,67 598 247 613
19,500125481+-5481_19.tif,"if paid by Nov. 10, 1953 ",68 615 272 631
20,500125481+-5481_20.tif,copy ,67 689 126 702
21,500125481+-5481_21.tif,mlh ,67 707 91 718
22,500125481+-5481_22.tif,10-23-53 ,67 720 133 736
23,500125481+-5481_23.tif,ZlOOq ,682 806 693 849
