,image_no,text,bb
0,ti16311032_0.tif,A ,210 104 217 112
1,ti16311032_1.tif,StnpirB (Elub ,352 107 532 140
2,ti16311032_2.tif,uf the New York Republican Slate Committee ,295 144 525 155
3,ti16311032_3.tif,INVOICE: ,332 281 392 290
4,ti16311032_4.tif,MEMBERSHIP IN THE EMPIRE CLUB ,243 308 482 317
5,ti16311032_5.tif,Mr. John O'Connor ,92 348 234 357
6,ti16311032_6.tif,Tobacco institute ,92 361 234 370
7,ti16311032_7.tif,7 Elk Street ,92 375 192 384
8,ti16311032_8.tif,"Albany, NY 12207 ",92 388 250 399
9,ti16311032_9.tif,Dues $1000.00 ,92 442 366 456
10,ti16311032_10.tif,"Renewal of membership August, 1994 to August, 1995 ",92 469 575 481
11,ti16311032_11.tif,Please make check payable to Victory '94 ,92 522 422 535
12,ti16311032_12.tif,and send to: ,92 536 190 545
13,ti16311032_13.tif,The Empire Club ,92 549 217 561
14,ti16311032_14.tif,NY Republican State Committee ,92 562 333 574
15,ti16311032_15.tif,115 East 57th Street ,92 577 258 586
16,ti16311032_16.tif,"New York, New York 10022 ",92 590 299 601
17,ti16311032_17.tif,(212) 750-1286 ,94 604 208 614
18,ti16311032_18.tif,"Paid for by NY Republican State Committee, 315 State Street, Albany, New York 12210 « ",124 922 595 936
19,ti16311032_19.tif,Phone (518) 462-2601 • Fax (518) 449-7443 ,256 937 472 948
20,ti16311032_20.tif,TI1631-1032 ,641 964 722 974
