,image_no,text,bb
0,2084021799_0.tif,LEO BURNETT U.S.A. ,83 73 244 83
1,2084021799_1.tif,A WVWVCM OP 1XA f.U»Nnr COWAWY. INC. ,83 86 246 91
2,2084021799_2.tif,ADVERTISING ,126 95 200 103
3,2084021799_3.tif,NEWSPAPER ESTIMATE RECAP - PN05 ,377 106 592 114
4,2084021799_4.tif,PERIOD OATE 04/11/97 ,411 125 592 134
5,2084021799_5.tif,01/01/96 TO 12/31/96 PAGE 1 ,365 135 591 144
6,2084021799_6.tif,CLIENT: P.M. INC. OFFICE: 10 DESC: 703A MILITARY NEWSPAPERS ,158 156 586 163
7,2084021799_7.tif,EST NO: 6004 REVISES EST DTD 03/14/97 ,159 165 387 174
8,2084021799_8.tif,TOTALS BY MRKT/S ZON /PRODUCT/MONTH ,158 206 364 214
9,2084021799_9.tif,MPKT/S:ZON • ,487 196 553 205
10,2084021799_10.tif,3M0'OKLAHOMA CT ,487 216 573 224
11,2084021799_11.tif,PRODUCT ,200 257 240 263
12,2084021799_12.tif,PERIOO ,283 257 317 263
13,2084021799_13.tif,EST AMT ,365 246 404 253
14,2084021799_14.tif,AMOUNT ,364 257 398 263
15,2084021799_15.tif,EST AMT ,451 246 491 254
16,2084021799_16.tif,CHANGE ,451 257 485 263
17,2084021799_17.tif,EST AMT ,545 246 584 254
18,2084021799_18.tif,LESS C/D ,533 256 579 265
19,2084021799_19.tif,1O-MARLB0R0 ,176 276 240 283
20,2084021799_20.tif,FEB 1996 ,276 276 322 283
21,2084021799_21.tif,QUARTER 1 ,275 286 327 293
22,2084021799_22.tif,1.782.45 ,365 276 409 284
23,2084021799_23.tif,1.762.45 ,365 286 409 293
24,2084021799_24.tif,1.782.45 ,540 277 584 284
25,2084021799_25.tif,1.782.45 ,539 287 584 294
26,2084021799_26.tif,MAY ,276 306 292 312
27,2084021799_27.tif,dUN ,276 316 293 323
28,2084021799_28.tif,QUARTER 2 ,275 325 327 333
29,2084021799_29.tif,"7,518.05 ",364 306 409 313
30,2084021799_30.tif,1.782.45 ,365 316 409 323
31,2084021799_31.tif,"9,300.50 ",363 325 409 333
32,2084021799_32.tif,7.518.00 ,538 306 584 313
33,2084021799_33.tif,1.782.45 ,539 316 584 323
34,2084021799_34.tif,"9,300.50 ",538 326 584 334
35,2084021799_35.tif,JUL ,276 346 292 352
36,2084021799_36.tif,AUG ,275 355 292 362
37,2084021799_37.tif,SEP ,275 365 292 372
38,2084021799_38.tif,QUARTER 3 ,275 375 327 382
39,2084021799_39.tif,4.151.85 ,363 345 409 353
40,2084021799_40.tif,"1,782.45 ",365 355 409 363
41,2084021799_41.tif,3.533.25 ,363 365 408 373
42,2084021799_42.tif,9.467.55 ,363 375 408 382
43,2084021799_43.tif,"4,151.85 ",538 346 584 353
44,2084021799_44.tif,"1,782.45 ",538 355 584 364
45,2084021799_45.tif,"3,533.25 ",538 366 584 373
46,2084021799_46.tif,"9,467.55 ",538 375 584 383
47,2084021799_47.tif,OCT ,275 395 291 402
48,2084021799_48.tif,NOV ,275 405 292 411
49,2084021799_49.tif,OEC ,274 415 291 422
50,2084021799_50.tif,OUARTER 4 ,275 424 327 431
51,2084021799_51.tif,"3,984.80 • ",363 395 417 403
52,2084021799_52.tif,1.353.45 ,364 405 408 412
53,2084021799_53.tif,1.782.45 ,364 415 408 422
54,2084021799_54.tif,"7,120.70 ",363 424 409 432
55,2084021799_55.tif,"3,984.80 ",538 395 584 403
56,2084021799_56.tif,1.353.45 ,538 405 583 413
57,2084021799_57.tif,1.782.45 ,538 415 583 423
58,2084021799_58.tif,"7,120.70 ",537 425 584 432
59,2084021799_59.tif,TOTAL ,286 444 315 451
60,2084021799_60.tif,"27,671.20 ",357 444 408 452
61,2084021799_61.tif,27.671.20 ,531 445 584 452
62,2084021799_62.tif,FORM M01A REV 04-14-83 ,43 902 151 909
