,image_no,text,bb
0,2084020274_0276_0.tif,gt ,32 91 51 118
1,2084020274_0276_1.tif,LK0BURNETTU.8. A. ,67 87 203 99
2,2084020274_0276_2.tif,ADVERTISING ,105 107 166 116
3,2084020274_0276_3.tif,OUTDOOR ESTIMATE RSCAP - 0003(3) ,284 108 497 120
4,2084020274_0276_4.tif,PERIOD DATE 06/03/00 ,344 125 498 135
5,2084020274_0276_5.tif,01/01/95 TO 13/31/95 PAGE 1 ,304 134 497 145
6,2084020274_0276_6.tif,CLIENT: P.M. INC. Of PICE: 10 CESCi T74A (W.W) TRANSIT ,132 151 469 165
7,2084020274_0276_7.tif,EST NO: 9141 REVISES EST OTD 04/00/RS BUS SKELTER ,132 161 429 174
8,2084020274_0276_8.tif,TOTALS CT PSOOlKT/MbCT/S ?ON /ICKTh ,132 196 329 208
9,2084020274_0276_9.tif,SHOWING OATE ,158 216 216 223
10,2084020274_0276_10.tif,PRODUCT: ,410 186 448 193
11,2084020274_0276_11.tif,10-MARL30R0 ,411 203 466 210
12,2084020274_0276_12.tif,HRKT/S EOS ,163 248 212 257
13,2084020274_0276_13.tif,•KD-NEW YORK ,150 266 208 273
14,2084020274_0276_14.tif,jeO-WASHINOTON ,150 366 219 374
15,2084020274_0276_15.tif,3U0-ATLANTA ,154 523 207 530
16,2084020274_0276_16.tif,30O-WXAS! ,157 681 200 687
17,2084020274_0276_17.tif,*ERIOO ,237 248 266 255
18,2084020274_0276_18.tif,1ST AMT ,307 238 340 245
19,2084020274_0276_19.tif,AUOLNT ,307 247 335 254
20,2084020274_0276_20.tif,AUQ IMS ,234 265 272 272
21,2084020274_0276_21.tif,«.400.00 ,306 263 347 271
22,2084020274_0276_22.tif,SC 9 ,234 274 247 280
23,2084020274_0276_23.tif,4.400.00 ,308 271 347 279
24,2084020274_0276_24.tif,OUARTIR 3 ,234 281 277 288
25,2084020274_0276_25.tif,12.400.00 ,304 280 347 287
26,2084020274_0276_26.tif,OCT ,233 299 247 305
27,2084020274_0276_27.tif,"4,400.00 ",307 296 347 304
28,2084020274_0276_28.tif,NDv ,233 307 248 313
29,2084020274_0276_29.tif,4.400.00 ,307 305 347 312
30,2084020274_0276_30.tif,DCC ,233 316 248 322
31,2084020274_0276_31.tif,4.400.00 ,307 313 347 321
32,2084020274_0276_32.tif,OUARTIR 4 ,234 323 278 331
33,2084020274_0276_33.tif,14.200.00 ,304 322 348 329
34,2084020274_0276_34.tif,TOTAL ,244 339 268 347
35,2084020274_0276_35.tif,32.000.00 ,304 338 348 346
36,2084020274_0276_36.tif,MAH IMS ,234 365 273 372
37,2084020274_0276_37.tif,34.453.00 ,304 364 348 372
38,2084020274_0276_38.tif,OUARTIR 1 ,235 374 278 380
39,2084020274_0276_39.tif,"34,454.00 ",304 372 348 379
40,2084020274_0276_40.tif,APR ,235 391 249 397
41,2084020274_0276_41.tif,34.445 00 ,305 389 349 396
42,2084020274_0276_42.tif,MAY ,235 400 249 405
43,2084020274_0276_43.tif,34.4SS.00 ,305 397 349 405
44,2084020274_0276_44.tif,sXM ,236 408 250 414
45,2084020274_0276_45.tif,39.4SS.OO ,305 405 349 413
46,2084020274_0276_46.tif,QUARTER 2 ,236 415 279 422
47,2084020274_0276_47.tif,"114,345.OO ",302 413 349 421
48,2084020274_0276_48.tif,JUL ,236 433 250 439
49,2084020274_0276_49.tif,34.454.00 ,305 430 349 438
50,2084020274_0276_50.tif,Aua ,236 441 251 447
51,2084020274_0276_51.tif,S4.446.CO ,306 438 351 446
52,2084020274_0276_52.tif,Sl> ,237 449 251 455
53,2084020274_0276_53.tif,34.4SS.CO ,306 447 350 454
54,2084020274_0276_54.tif,OUARTIR 3 ,237 456 281 463
55,2084020274_0276_55.tif,114.3CS.00 ,303 455 350 462
56,2084020274_0276_56.tif,occ ,237 474 251 480
57,2084020274_0276_57.tif,39.4 SB. 00 ,307 471 350 479
58,2084020274_0276_58.tif,QUARTER 4 ,237 481 281 488
59,2084020274_0276_59.tif,39.4BB.OO ,306 480 350 487
60,2084020274_0276_60.tif,TOTAL ,247 497 271 504
61,2084020274_0276_61.tif,314.440.00 ,302 496 352 503
62,2084020274_0276_62.tif,HAR IMS ,238 522 277 529
63,2084020274_0276_63.tif,"9,400.00 ",312 520 351 528
64,2084020274_0276_64.tif,QUARTER \ ,238 530 281 538
65,2084020274_0276_65.tif,4.400.00 ,312 529 351 536
66,2084020274_0276_66.tif,APR ,238 548 252 553
67,2084020274_0276_67.tif,4.400.00 ,312 546 351 553
68,2084020274_0276_68.tif,MAY ,238 557 253 562
69,2084020274_0276_69.tif,4.400.00 ,312 554 352 562
70,2084020274_0276_70.tif,tXM ,239 565 254 571
71,2084020274_0276_71.tif,4.400.00 ,313 562 352 570
72,2084020274_0276_72.tif,QUARTER 2 ,239 572 283 579
73,2084020274_0276_73.tif,24.400.00 ,309 570 352 578
74,2084020274_0276_74.tif,UUL ,239 590 253 596
75,2084020274_0276_75.tif,4.400.00 ,313 587 352 595
76,2084020274_0276_76.tif,AUO ,239 598 253 604
77,2084020274_0276_77.tif,"9,400.00 ",313 596 353 603
78,2084020274_0276_78.tif,SIP ,240 607 253 613
79,2084020274_0276_79.tif,4.400.00 ,313 604 353 611
80,2084020274_0276_80.tif,OUARTCR 3 ,239 614 284 621
81,2084020274_0276_81.tif,24.400.00 ,309 612 354 620
82,2084020274_0276_82.tif,DCC ,241 631 254 637
83,2084020274_0276_83.tif,4.400.00 ,314 629 354 636
84,2084020274_0276_84.tif,QUARTER 4 ,241 638 284 645
85,2084020274_0276_85.tif,9.4C0.00 ,315 637 354 644
86,2084020274_0276_86.tif,TOTAL ,251 654 274 661
87,2084020274_0276_87.tif,74.5CO.OO ,310 653 354 660
88,2084020274_0276_88.tif,MAR 1095 ,241 678 280 685
89,2084020274_0276_89.tif,12.400.00 ,312 677 355 684
90,2084020274_0276_90.tif,QUARTIR 1 ,241 687 285 694
91,2084020274_0276_91.tif,•2.400.00 ,312 685 355 693
92,2084020274_0276_92.tif,APR ,241 704 255 710
93,2084020274_0276_93.tif,12.400.00 ,312 702 355 709
94,2084020274_0276_94.tif,MAY ,241 713 255 718
95,2084020274_0276_95.tif,"12,400.00 ",312 710 355 717
96,2084020274_0276_96.tif,JtBJ ,242 721 256 726
97,2084020274_0276_97.tif,12.400.00 ,312 718 355 725
98,2084020274_0276_98.tif,EST AMT ,381 237 414 244
99,2084020274_0276_99.tif,CHANGE ,381 245 410 252
100,2084020274_0276_100.tif,FORM %>01» MV M-I4- ,49 784 133 791
