,image_no,text,bb
0,2084022243_0.tif,PNOS ,557 101 579 106
1,2084022243_1.tif,LDU DUri'lil X U.3.H. ,74 71 233 77
2,2084022243_2.tif,"A BIVHIOK OF HO IURHETT COMMO, me. ",74 80 234 86
3,2084022243_3.tif,ADVERTISING ,117 90 189 97
4,2084022243_4.tif,NEWSPAPER ESTIMATE RECAP - ,366 100 549 107
5,2084022243_5.tif,PERIOD OATE 06/14/96 ,400 118 579 127
6,2084022243_6.tif,01/01/96 TO 12/31/96 PAGE 1 ,354 128 579 137
7,2084022243_7.tif,CLIENT: P.M. INC. OFFICE: 10 DESC: 703A MILITARY NEWSPAPERS ,148 149 573 156
8,2084022243_8.tif,EST NO: 6004 REVISES EST DTD 05/10/96 ,149 158 377 166
9,2084022243_9.tif,TOTALS BY MRKT/S ZON /PRODUCT/MONTH ,148 197 354 206
10,2084022243_10.tif,MHKT/S-.ZON ,476 187 533 195
11,2084022243_11.tif,3P0-ALSU0UER0UE ,476 208 562 214
12,2084022243_12.tif,PRODUCT ,190 247 231 255
13,2084022243_13.tif,PERIOD ,273 247 307 254
14,2084022243_14.tif,EST AMT ,355 237 394 244
15,2084022243_15.tif,AMOUNT ,355 247 389 254
16,2084022243_16.tif,EST AMT ,441 237 480 244
17,2084022243_17.tif,CHANGE ,441 247 475 254
18,2084022243_18.tif,EST AMT ,534 237 573 244
19,2084022243_19.tif,LESS C/D ,523 246 568 255
20,2084022243_20.tif,10-MARLB0R0 ,168 267 231 274
21,2084022243_21.tif,FEB 1996 ,267 267 313 274
22,2084022243_22.tif,OUARTEP 1 ,267 277 318 285
23,2084022243_23.tif,2. 147.60 ,355 267 401 274
24,2084022243_24.tif,2.147.60 ,355 277 401 285
25,2084022243_25.tif,2.147.60 ,529 267 574 275
26,2084022243_26.tif,2.147.60 ,529 277 574 285
27,2084022243_27.tif,MAY ,267 297 284 304
28,2084022243_28.tif,JON ,267 307 284 314
29,2084022243_29.tif,QUARTER 2 ,266 316 319 324
30,2084022243_30.tif,3.554.56 ,355 297 400 304
31,2084022243_31.tif,2. 147.60 ,355 307 401 314
32,2084022243_32.tif,"5,702.16 ",355 316 400 324
33,2084022243_33.tif,"3,554.56 ",441 297 487 305
34,2084022243_34.tif,"2,147.60 ",441 307 487 314
35,2084022243_35.tif,"5,702.16 ",441 316 487 324
36,2084022243_36.tif,"3,554.56 ",529 297 574 304
37,2084022243_37.tif,2.147.60 ,529 306 574 314
38,2084022243_38.tif,"5,702.16 ",529 316 574 324
39,2084022243_39.tif,UUL ,267 337 284 343
40,2084022243_40.tif,AUG ,267 346 285 353
41,2084022243_41.tif,SEP ,267 356 284 363
42,2084022243_42.tif,QUARTER 3 ,267 365 320 372
43,2084022243_43.tif,2.147.60 ,356 336 401 343
44,2084022243_44.tif,2.147.60 ,355 346 402 353
45,2084022243_45.tif,2.147.60 ,356 356 401 363
46,2084022243_46.tif,6.442.80 ,356 366 401 372
47,2084022243_47.tif,2.147.60 ,442 336 488 343
48,2084022243_48.tif,2.147.60 ,441 346 488 354
49,2084022243_49.tif,2.147.60 ,441 356 487 363
50,2084022243_50.tif,6.442.80 ,441 366 488 372
51,2084022243_51.tif,2.147.60 ,529 336 575 343
52,2084022243_52.tif,2.147.60 ,529 345 575 353
53,2084022243_53.tif,"2,147.60 ",529 355 575 363
54,2084022243_54.tif,6.442.80 ,529 365 575 372
55,2084022243_55.tif,TOTAL ,279 384 308 392
56,2084022243_56.tif,"14,292.56 ",351 384 401 392
57,2084022243_57.tif,12.144.95 ,437 385 487 392
58,2084022243_58.tif,"14,292.56 ",524 384 574 392
59,2084022243_59.tif,i ,633 752 634 753
60,2084022243_60.tif,; ,631 758 633 764
61,2084022243_61.tif,I ,630 786 631 791
62,2084022243_62.tif,rOHM M01A REV 04-14*33 ,45 890 151 897
63,2084022243_63.tif,2084022243 ,653 734 670 819
