,image_no,text,bb
0,518492684+-2684_0.tif,TPS025UN ,104 69 164 80
1,518492684+-2684_1.tif,TEMPORARY PAYMENT SYSTEM ,283 70 467 80
2,518492684+-2684_2.tif,DISPLAY VOUCHER INFORMATION ,276 86 483 97
3,518492684+-2684_3.tif,05/08/96 08:46 AM ,570 70 709 82
4,518492684+-2684_4.tif,ACCOUNT: 217281 PAYEE: PLAINFIELD TOBACCO C ,141 135 560 147
5,518492684+-2684_5.tif,ACCT. DIVISION: 1330 ,142 152 297 163
6,518492684+-2684_6.tif,TOTAL AMOUNT DUE: 616.00 TOTAL PAYMENT ITEMS: 1 ,142 185 605 197
7,518492684+-2684_7.tif,PAY BY VOUCHER ,173 219 281 229
8,518492684+-2684_8.tif,SEND CHECK TO: PAYEE X DIV OFFICE ,173 252 450 264
9,518492684+-2684_9.tif,VOUCHER NUMBER ASSIGNED: 15309226 ,172 286 427 298
10,518492684+-2684_10.tif,PAYMENT INFO FOR VAP-DORAL MAY PROMO 600355 ,102 320 442 331
11,518492684+-2684_11.tif,CHECK STUB: CC: L.YWOLFE ‘ ,102 336 344 348
12,518492684+-2684_12.tif,PAYMENT REPORT WILL PRINT AT DESTINATION: 1310 ,102 421 456 432
13,518492684+-2684_13.tif,PRESS PF1 TO RETURN TO TEMPORARY PAYMENT SELECTION MENU ,102 437 526 449
14,518492684+-2684_14.tif,51849 2684 ,690 811 700 892
